unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,compact_idle_pressure
1786592168,3609860,14240,83886080,16928112640,1905,0,92,92,53,8.6,595186,2483027968,570425344,33554432,6816082,36,16128,0,992,0
1786592178,3473708,14240,83886080,17354326016,1907,0,96,96,32,8.6,590116,2345664512,570425344,33554432,6816082,38,16534,0,992,0
1786592188,3291468,14240,83886080,17478172672,1908,0,96,96,37,8.6,600480,2155872256,570425344,33554432,6816082,38,16652,0,992,0
1786592198,3344972,14240,83886080,17662914560,1909,0,100,100,26,8.5,587035,2215641088,570425344,33554432,6816082,39,16828,0,992,0
1786592209,4130352,14240,83886080,18465849344,1913,0,100,100,48,8.5,595204,3016753152,570425344,33554432,6816082,39,17593,0,992,0
1786592219,3394084,14240,83886080,18696765440,1914,0,104,104,42,8.4,590917,2262827008,570425344,33554432,6816082,39,17813,0,992,0
1786592229,3292676,14240,83886080,19350667264,1918,0,104,104,62,8.3,597602,2155872256,570425344,33554432,6816082,39,18436,0,992,0
1786592239,3490544,14240,83886080,19651903488,1919,0,108,108,45,8.3,586776,2360344576,570425344,33554432,6816082,40,18723,0,992,0
1786592249,3295752,14240,83886080,19850280960,1920,0,108,108,73,7.8,585202,2155872256,570425344,33554432,6816082,2152,18912,0,1078336,0
1786592260,3296988,14240,83886080,19854475264,1920,0,108,108,96,7.3,587572,2155872256,570425344,33554432,6816082,9945,18916,0,5167632,0
1786592270,3315900,14240,83886080,19875463168,1919,0,112,112,95,7.1,588111,2172649472,570425344,33554432,6816082,55227,18936,0,28822040,0
1786592280,3299356,14240,83886080,19887013888,1919,0,112,112,115,6.9,591763,2155872256,570425344,33554432,6816082,72572,18947,0,37878856,0
1786592290,3299476,14240,83886080,19888062464,1919,0,112,112,137,6.6,587989,2155872256,570425344,33554432,6816082,76799,18948,0,40097472,0
1786592300,3300116,14240,83886080,19892256768,1918,0,116,116,93,6.4,590101,2155872256,570425344,33554432,6816082,86277,18952,0,44949712,0
1786592310,3299240,14240,83886080,19894362112,1918,0,116,116,105,6.2,585164,2155872256,570425344,33554432,6816082,88702,18954,0,46153864,0
1786592321,3299164,14240,83886080,19896467456,1918,0,116,116,120,6.0,585823,2155872256,570425344,33554432,6816082,92655,18956,0,48196416,0
1786592331,3300440,14240,83886080,19896467456,1918,0,120,120,77,5.9,589921,2155872256,570425344,33554432,6816082,95188,18956,0,49479168,0
1786592341,3298188,14240,83886080,19900661760,1918,0,120,120,94,5.8,587369,2155872256,570425344,33554432,6816082,98919,18960,0,51364520,0
1786592352,3300264,14240,83886080,19900661760,1918,0,124,124,50,5.7,585245,2155872256,570425344,33554432,6816082,103040,18960,0,53491960,0
1786592363,3299388,14240,83886080,19903807488,1918,0,124,124,68,5.6,589910,2155872256,570425344,33554432,6816082,105408,18963,0,54687728,0
1786592373,3304172,14240,83886080,19904856064,1918,0,124,124,84,5.6,585293,2155872256,570425344,33554432,6816082,108618,18964,0,55812232,0
1786592383,3304220,14240,83886080,19904856064,1918,0,128,128,73,5.6,587213,2155872256,570425344,33554432,6816082,138866,18964,0,55864632,0
