unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes
1786240646,3332264,14240,83886080,20287963136,1893,0,123,123,83,6.8,609798,2156920832,570425344,33554432,6816082
1786240656,3344980,14240,83886080,20306853888,1891,0,127,127,71,6.7,618606,2170552320,570425344,33554432,6816082
1786240666,3336124,14240,83886080,20334149632,1889,0,131,131,53,6.7,611340,2161115136,570425344,33554432,6816082
1786240676,3332132,14240,83886080,20359331840,1887,0,132,132,73,6.7,612457,2155872256,570425344,33554432,6816082
1786240687,3347888,14240,83886080,20384530432,1885,0,136,136,67,6.7,609741,2171600896,570425344,33554432,6816082
1786240697,3344504,14240,83886080,20413911040,1883,0,140,140,58,6.7,613707,2169503744,570425344,33554432,6291768
1786240707,3340048,14240,83886080,20442251264,1880,0,143,143,63,6.7,611996,2165309440,570425344,33554432,6816082
1786240717,3330652,14240,83886080,20447494144,1880,0,144,144,78,6.6,609731,2155872256,570425344,33554432,6816082
1786240727,3347920,14240,83886080,20468498432,1878,0,148,148,72,6.6,610259,2172649472,570425344,33554432,6816082
1786240737,3340292,14240,83886080,20493680640,1876,0,152,152,59,6.6,611247,2165309440,570425344,33554432,6816082
1786240747,3333340,14240,83886080,20513624064,1874,0,154,154,70,6.6,610895,2156920832,570425344,33554432,6291768
1786240757,3348996,14240,83886080,20539867136,1872,0,157,157,71,6.6,613137,2170552320,570425344,33554432,6816082
1786240767,3350544,14240,83886080,20565053440,1870,0,161,161,64,6.6,612234,2171600896,570425344,33554432,6291768
1786240777,3341564,14240,83886080,20585005056,1868,0,165,165,59,6.6,611302,2164260864,570425344,33554432,6816082
1786240788,3344380,14240,83886080,20611235840,1866,0,169,169,59,6.6,614504,2166358016,570425344,33554432,6291768
1786240798,3346604,14240,83886080,20640628736,1863,0,172,172,64,6.6,612469,2169503744,570425344,33554432,6816082
1786240808,3334800,14240,83886080,20649021440,1863,0,173,173,77,6.6,610291,2156920832,570425344,33554432,6816082
1786240818,3333480,14240,83886080,20652179456,1862,0,177,177,62,6.5,611216,2155872256,570425344,33554432,6816082
1786240828,3337524,14240,83886080,20666867712,1861,0,181,181,43,6.5,609831,2159017984,570425344,33554432,6816082
1786240838,3335212,14240,83886080,20695203840,1859,0,182,182,72,6.5,611054,2156920832,570425344,33554432,6816082
1786240848,3348652,14240,83886080,20718301184,1857,0,186,186,71,6.5,610825,2170552320,570425344,33554432,6816082
1786240858,3347948,14240,83886080,20743487488,1854,0,190,190,63,6.5,612273,2169503744,570425344,33554432,6291768
1786240868,3352564,14240,83886080,20771831808,1852,0,193,193,68,6.5,611853,2174746624,570425344,33554432,6816082
1786240878,3346308,14240,83886080,20798062592,1850,0,197,197,63,6.5,611301,2168455168,570425344,33554432,6816082
1786240888,3337604,14240,83886080,20816957440,1848,0,201,201,58,6.5,611428,2160066560,570425344,33554432,6816082
1786240899,3336484,14240,83886080,20844249088,1845,0,204,203,70,6.5,611706,2159017984,570425344,33554432,4718826
1786240909,3344772,14240,83886080,20867334144,1843,0,206,206,73,6.5,609773,2166358016,570425344,33554432,6816082
1786240919,3350876,14240,83886080,20891484160,1841,0,210,210,68,6.5,611841,2172649472,570425344,33554432,6816082
1786240929,3345140,14240,83886080,20917719040,1839,0,214,214,63,6.5,609830,2167406592,570425344,33554432,6816082
1786240939,3335536,14240,83886080,20932411392,1837,0,215,215,81,6.5,609801,2155872256,570425344,33554432,6816082
1786240949,3347668,14240,83886080,20947107840,1836,0,219,219,68,6.5,614339,2168455168,570425344,33554432,6816082
1786240959,3341120,14240,83886080,20973355008,1834,0,223,223,54,6.5,609725,2162163712,570425344,33554432,6816082
1786240969,3336456,14240,83886080,20998537216,1832,0,227,227,49,6.5,609711,2156920832,570425344,33554432,5767454
1786240980,3347324,14240,83886080,21025832960,1829,0,227,227,82,6.5,611406,2168455168,570425344,33554432,6816082
1786240990,3349344,14240,83886080,21042626560,1827,0,231,231,76,6.5,611164,2169503744,570425344,33554432,6816082
1786241000,3343540,14240,83886080,21062565888,1826,0,235,235,64,6.5,609851,2164260864,570425344,33554432,6816082
1786241010,3336232,14240,83886080,21084602368,1823,0,236,236,84,6.5,609761,2155872256,570425344,33554432,6816082
1786241020,3351052,14240,83886080,21108752384,1821,0,240,240,70,6.5,615885,2171600896,570425344,33554432,6816082
1786241030,3340372,14240,83886080,21128691712,1820,0,244,244,59,6.5,611023,2161115136,570425344,33554432,5767454
1786241040,3343192,14240,83886080,21155987456,1817,0,247,247,58,6.5,609757,2164260864,570425344,33554432,6816082
1786241050,3335232,14240,83886080,21158084608,1816,0,249,249,71,6.5,614454,2155872256,570425344,33554432,6291768
1786241060,3338952,14240,83886080,21160181760,1811,0,252,252,75,6.5,611911,2157969408,570425344,33554432,6816082
1786241070,3338476,14240,83886080,21162278912,1808,0,256,256,72,6.5,611017,2157969408,570425344,33554432,6816082
1786241080,3336696,14240,83886080,21164376064,1803,0,257,256,105,6.5,609825,2155872256,570425344,33554432,5243140
1786241091,3339280,14240,83886080,21166473216,1798,0,260,260,85,6.5,612657,2157969408,570425344,33554432,6816082
1786241101,3339540,14240,83886080,21169623040,1793,0,264,264,71,6.5,611611,2159017984,570425344,33554432,6816082
1786241111,3337148,14240,83886080,21170675712,1789,0,268,268,63,6.5,613097,2155872256,570425344,33554432,6816082
1786241121,3337180,14240,83886080,21172781056,1784,0,272,272,54,6.5,612901,2155872256,570425344,33554432,4718826
1786241131,3337204,14240,83886080,21174878208,1779,0,273,273,79,6.5,611754,2155872256,570425344,33554432,6816082
1786241141,3337072,14240,83886080,21175926784,1776,0,277,277,71,6.5,612035,2155872256,570425344,33554432,6291768
1786241151,3338816,14240,83886080,21178023936,1771,0,280,280,76,6.6,610862,2157969408,570425344,33554432,6816082
1786241161,3337308,14240,83886080,21179072512,1767,0,284,284,69,6.6,610353,2155872256,570425344,33554432,6816082
1786241171,3338340,14240,83886080,21180121088,1763,0,288,288,63,6.6,611549,2156920832,570425344,33554432,6816082
1786241182,3337524,14240,83886080,21180121088,1762,0,290,290,70,6.6,615139,2155872256,570425344,33554432,5767454
1786241192,3339048,14240,83886080,21182218240,1757,0,292,292,85,6.6,613254,2157969408,570425344,33554432,6816082
1786241202,3338168,14240,83886080,21183266816,1752,0,296,296,77,6.6,611557,2156920832,570425344,33554432,6816082
1786241212,3337524,14240,83886080,21183266816,1751,0,298,298,82,6.6,609781,2155872256,570425344,33554432,6816082
1786241222,3338192,14240,83886080,21184315392,1747,0,302,302,71,6.6,610286,2156920832,570425344,33554432,6816082
1786241232,3337104,14240,83886080,21186416640,1743,0,306,306,60,6.6,613576,2156920832,570425344,33554432,6816082
1786241242,3338272,14240,83886080,21188521984,1739,0,310,310,53,6.6,609807,2156920832,570425344,33554432,6816082
