unix_s,vmrss_kb,docs_live,doc_resident_bytes,disk_used_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,segs_live,sqes_per_submit,used_memory_kb,tier_committed_bytes,tier_index_bytes,log_staging_bytes,ckpt_buffer_bytes,cold_reads_issued,flush_slices,compact_slices,dead_bytes,live_bytes,compact_idle_pressure
1786694293,3284884,14240,83886080,15192064000,1893,0,88,88,31,9.4,583670,2155872256,570425344,33554432,4194512,32,14474,0,992,17326482344,0
1786694304,3647516,14240,83886080,15596158976,1896,0,88,88,44,9.4,586459,2519728128,570425344,33554432,6816082,34,14859,0,992,17730354296,0
1786694314,3422188,14240,83886080,15841771520,1898,0,92,92,30,9.4,580151,2293235712,570425344,33554432,6816082,36,15093,0,992,17975335824,0
1786694326,3293292,14240,83886080,16559693824,1903,0,92,92,51,9.4,589516,2155872256,570425344,33554432,6816082,37,15777,0,992,18693011464,0
1786694336,3945548,14240,83886080,17380569088,1907,0,96,96,59,9.3,581055,2826960896,570425344,33554432,6816082,37,16559,0,992,19512215248,0
1786694347,3504692,14240,83886080,17856036864,1910,0,100,100,47,9.3,580489,2375024640,570425344,33554432,6816082,38,17012,0,992,19988911672,0
1786694358,3415336,14240,83886080,18137333760,1912,0,100,100,56,9.3,589749,2280652800,570425344,33554432,6816082,38,17280,0,992,20268229872,0
1786694369,3298720,14240,83886080,18209751040,1912,0,101,101,56,9.3,592225,2155872256,570425344,33554432,5243140,38,17349,0,992,20339289512,0
1786694383,3520932,14240,83886080,18466902016,1913,0,104,104,40,9.3,596914,2325741568,570425344,33554432,6816082,39,17594,0,992,20597518808,0
1786694394,3642796,14240,83886080,19000098816,1916,0,108,108,35,9.3,588392,2514485248,570425344,33554432,6816082,39,18102,0,992,21130369168,0
1786694404,3749276,14240,83886080,19688636416,1919,0,112,112,46,9.3,578999,2620391424,570425344,33554432,6816082,40,18758,0,992,21818784648,0
1786694414,3299932,14240,83886080,19827187712,1920,0,113,113,53,9.2,582170,2155872256,570425344,33554432,6291768,40,18890,0,992,21957310336,0
1786694424,3322964,14240,83886080,19871268864,1919,0,116,116,72,9.1,581340,2181038080,570425344,33554432,6816082,43718,18932,0,22900840,21978152960,0
1786694434,3300584,14240,83886080,19879673856,1919,0,120,120,66,8.7,582542,2159017984,570425344,33554432,6816082,57850,18940,0,30207496,21978152960,0
1786694445,3298908,14240,83886080,19883868160,1919,0,120,120,94,8.5,589809,2155872256,570425344,33554432,6816082,68581,18944,0,35712640,21978152960,0
1786694455,3297864,14240,83886080,19888062464,1919,0,121,120,111,8.1,588256,2155872256,570425344,33554432,5243140,74659,18948,0,38818912,21978152960,0
1786694465,3323696,14240,83886080,19917455360,1918,0,124,124,89,8.1,581567,2183135232,570425344,33554432,6816082,129267,18976,0,67460752,21978152960,0
1786694475,3300248,14240,83886080,19917455360,1917,0,124,124,109,7.8,586414,2155872256,570425344,33554432,6816082,135553,18976,0,70634096,21978152960,0
1786694485,3298092,14240,83886080,19921649664,1917,0,128,128,76,7.7,579401,2155872256,570425344,33554432,6816082,139456,18980,0,72605384,21978152960,0
1786694496,3300028,14240,83886080,19921649664,1917,0,128,128,91,7.4,581488,2155872256,570425344,33554432,6816082,143302,18980,0,74586104,21978152960,0
1786694506,3297636,14240,83886080,19925843968,1917,0,128,128,107,7.2,587404,2155872256,570425344,33554432,6816082,146816,18984,0,76344648,21978152960,0
