# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cpu_core/cycles/P'
# Event count (approx.): 17180652278
#
# Overhead  Command          Shared Object              Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  .........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  json_cmd-cad56d  json_cmd-cad56dcbce659a40  [.] inf_store::keyspace::Keyspace::db_mut
     0.03%  cargo            [unknown]                  [k] 0xffffffffa9316a3e
     0.02%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8053
     0.02%  cargo            cargo                      [.] <toml_parser::lexer::Lexer>::into_vec
     0.02%  cargo            libc.so.6                  [.] _int_free_chunk
     0.02%  cargo            cargo                      [.] anstream::adapter::strip::next_bytes
     0.02%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8177c7a
     0.02%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b855b
     0.02%  cargo            cargo                      [.] <toml_parser::lexer::Lexer as core::iter::traits::iterator::Iterator>::next
     0.02%  cargo            cargo                      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&semver::Version>
     0.02%  cargo            [unknown]                  [k] 0xffffffffa7c01268
     0.01%  cargo            cargo                      [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8079
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8145349
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817744c
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa818f549
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8577
     0.01%  cargo            cargo                      [.] <cargo::sources::registry::index::RegistryIndex>::query_inner_with_online
     0.01%  cargo            cargo                      [.] <serde_json::read::SliceRead>::skip_to_escape
     0.01%  cargo            [unknown]                  [k] 0xffffffffa932d7e3
     0.01%  cargo            rustup                     [.] toml_parser::decoder::string::decode_basic_string
     0.01%  cargo            rustup                     [.] toml::de::parser::key::State::close_key
     0.01%  cargo            cargo                      [.] ossl_fnv1a_hash
     0.01%  cargo            cargo                      [.] core::str::converts::from_utf8
     0.01%  cargo            cargo                      [.] <std::path::Path as core::hash::Hash>::hash::<std::hash::random::DefaultHasher>
     0.01%  cargo            [unknown]                  [k] 0xffffffffa8431c2d
     0.01%  cargo            [unknown]                  [k] 0xffffffffa850cf27
     0.01%  cargo            ld-linux-x86-64.so.2       [.] _dl_relocate_object_no_relro
     0.01%  cargo            cargo                      [.] core::ptr::drop_in_place::<indexmap::inner::Core<serde_spanned::spanned::Spanned<alloc::borrow::Cow<str>>, serde_spanned::spanned::Spanned<toml::de::parser::devalue::DeValue>>>
     0.01%  cargo            cargo                      [.] <cargo::util::semver_ext::OptVersionReq>::lock_to
     0.01%  cargo            cargo                      [.] serde_json::ser::format_escaped_str_contents::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     0.01%  cargo            cargo                      [.] toml::de::parser::key::on_key
     0.01%  cargo            cargo                      [.] core::fmt::write
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fc4360
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bc3bc
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80a9509
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa9318060
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7f87
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8193e16
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8141ca5
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7ea4
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8194934
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b89d0
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa93180d7
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d8539
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81bce58
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7234
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa8193e29
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8529
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7f96
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80f369d
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d7f3d
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa93180b5
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa93180df
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80aa1e1
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa93180db
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b82a7
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b728c
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81006a7
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b7f05
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b8a6d
     0.01%  cargo            cargo                      [.] <<cargo_util_schemas::manifest::TomlPackage as serde_core::de::Deserialize>::deserialize::__Visitor as serde_core::de::Visitor>::visit_map::<serde_ignored::MapAccess<toml::de::deserializer::table::TableMapAccess, cargo::util::toml::deserialize_toml::{closure#0}>>
     0.01%  cargo            cargo                      [.] cargo::ops::resolve::resolve_with_previous
     0.01%  cargo            cargo                      [.] toml_parser::decoder::string::decode_basic_string
     0.01%  cargo            cargo                      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&url::Url>
     0.01%  cargo            cargo                      [.] cargo_util::paths::normalize_path
     0.01%  cargo            cargo                      [.] <im_rc::ord::map::OrdMap<cargo::core::package_id::PackageId, im_rc::ord::map::OrdMap<cargo::core::package_id::PackageId, im_rc::hash::set::HashSet<cargo::core::dependency::Dependency, rustc_hash::FxBuildHasher>>>>::get_mut::<cargo::core::package_id::PackageId>
     0.01%  cargo            rustup                     [.] <toml::de::deserializer::table::TableDeserializer as serde_core::de::Deserializer>::deserialize_any
     0.01%  cargo            cargo                      [.] cargo::core::summary::build_feature_map
     0.01%  cargo            cargo                      [.] cargo::util::toml::deprecated_underscore::<bool>
     0.01%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa7fae860
     0.01%  cargo            [unknown]                  [k] 0xffffffffa8851c75
     0.01%  cargo            [unknown]                  [k] 0xffffffffa8410322
     0.01%  cargo            cargo                      [.] OPENSSL_cleanse
     0.01%  cargo            [unknown]                  [k] 0xffffffffa83c401c
     0.01%  cargo            libc.so.6                  [.] unlink_chunk.isra.0
     0.01%  cargo            rustup                     [.] toml::de::parser::value::on_scalar
     0.01%  cargo            cargo                      [.] ASN1_item_ex_i2d
     0.01%  gix::dirwalk::i  cargo                      [.] <gix_index::State>::entry_by_path
     0.01%  cargo            cargo                      [.] <sha1_checked::Sha1 as digest::Update>::update::{closure#0}
     0.01%  cargo            cargo                      [.] sha1_checked::compress::compression_states
     0.01%  cargo            cargo                      [.] <std::hash::random::RandomState as core::hash::BuildHasher>::hash_one::<&cargo::core::package_id::PackageId>
     0.01%  cargo            [unknown]                  [k] 0xffffffffa83f292c
     0.01%  cargo            rustup                     [.] regex_automata::nfa::thompson::compiler::Compiler::c
     0.01%  cargo            [unknown]                  [k] 0xffffffffa930d756
     0.01%  cargo            [unknown]                  [k] 0xffffffffa80150b5
     0.01%  cargo            cargo                      [.] <cargo::core::dependency::Dependency>::serialized
     0.01%  cargo            cargo                      [.] core::ptr::drop_in_place::<[serde_spanned::spanned::Spanned<toml::de::parser::devalue::DeValue>]>
     0.01%  cargo            cargo                      [.] <hashbrown::map::HashMap<cargo::core::package_id::PackageId, (), std::hash::random::RandomState>>::insert
     0.01%  cargo            cargo                      [.] core::ptr::drop_in_place::<toml::de::parser::devalue::DeValue>
     0.01%  cargo            cargo                      [.] core::slice::memchr::memrchr
     0.00%  cargo            cargo                      [.] core::ptr::drop_in_place::<(semver::Version, cargo::sources::registry::index::MaybeIndexSummary)>
     0.00%  cargo            cargo                      [.] toml_parser::parser::document::on_expression_key
     0.00%  cargo            [unknown]                  [k] 0xffffffffa84b851a
     0.00%  cargo            cargo                      [.] <memchr::arch::x86_64::avx2::memchr::Three>::find_raw_avx2
     0.00%  cargo            cargo                      [.] <<cargo_util_schemas::manifest::TomlDetailedDependency<_> as serde_core::de::Deserialize>::deserialize::__Visitor<alloc::string::String> as serde_core::de::Visitor>::visit_map::<serde_untagged::map::Map>
     0.00%  cargo            cargo                      [.] <toml::value::Value as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.00%  cargo            cargo                      [.] <serde_ignored::Deserializer<toml::de::deserializer::value::ValueDeserializer, cargo::util::toml::deserialize_toml::{closure#0}> as serde_core::de::Deserializer>::deserialize_any::<serde_value::de::ValueVisitor>
     0.00%  cargo            cargo                      [.] <alloc::borrow::Cow<str> as toml_parser::decoder::StringBuilder>::push_str
     0.00%  cargo            cargo                      [.] <toml_parser::source::Raw>::decode_key
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa88d5951
     0.00%  cargo            cargo                      [.] toml_parser::parser::document::ws_comment_newline
     0.00%  cargo            cargo                      [.] <toml::de::parser::key::State>::close_key
     0.00%  cargo            cargo                      [.] <alloc::string::String as core::fmt::Write>::write_str
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80b895e
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa81452c2
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa80d805f
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa817699b
     0.00%  json_cmd-cad56d  [unknown]                  [k] 0xffffffffa931817a
