0	off	1	.artifacts/m0/1783359118-gate-run
1	on	0	.artifacts/m0/1783359278-gate-run
2	on	1	.artifacts/m0/1783359438-gate-run
3	off	1	
3r	off	0	.artifacts/m0/1783359673-gate-run
