unix_s,vmrss_kb,disk_used_bytes,wal_bytes,flush_bytes,user_bytes,wa_milli_max,diskfull_refusals,ckpts,manifests,sqes_per_submit
1786051807,228608,1117892608,8567183180,4224393216,8443089200,1615,0,125,125,1.5
1786051817,228852,1190338560,9320492660,4431986688,9184973200,1593,0,137,137,1.5
1786051827,233772,1158844416,9726297686,5074759680,9584537040,1651,0,143,143,1.5
1786051838,235560,943648768,10491908600,5263368192,10338499600,1627,0,153,153,1.5
1786051848,229812,1128411136,11264992492,5448835072,11099870080,1605,0,165,165,1.5
1786051858,231036,1123143680,11756581138,5848190976,11583866320,1623,0,173,172,1.5
1786051868,230024,1170399232,12520788474,6030495744,12336489360,1604,0,184,184,1.5
1786051878,242912,1541976064,12944413860,6673268736,12753598000,1647,0,190,190,1.5
1786051888,244528,937353216,13679759318,6875574272,13477742720,1631,0,201,201,1.5
1786051898,243476,1036038144,14359314412,7109509120,14146966080,1641,0,212,212,1.5
1786051908,243364,1126293504,14977831506,7469879296,14756009840,1627,0,221,221,1.5
1786051918,242788,1216581632,15724480594,7695384576,15491339760,1622,0,232,232,1.5
1786051928,246036,977252352,16188423102,8264392704,15948162880,1631,0,239,239,1.5
1786051939,246504,952045568,16906765896,8508850176,16655590640,1634,0,251,251,1.5
1786051949,246188,1063325696,17639309292,8755429376,17377008480,1641,0,260,260,1.5
1786051959,245196,1133637632,18169339704,9095778304,17898918960,1632,0,268,268,1.5
1786051969,246840,1116868608,18670506192,9213808640,18392490480,1623,0,275,275,1.5
1786051979,246608,1290047488,18977782612,9387663360,18695094080,1636,0,280,280,1.5
1786051989,246184,1272197120,19176545282,9639501824,18890811680,1633,0,284,284,1.5
1786051999,250532,1255407616,19428340916,9892401152,19138736240,1629,0,287,287,1.5
1786052009,251468,905867264,19891206214,10081017856,19594555760,1640,0,294,294,1.5
1786052019,252316,1012936704,20610489146,10323378176,20302907040,1646,0,306,305,1.5
1786052029,252036,1098997760,21234185366,10679529472,20917094640,1636,0,315,315,1.5
1786052039,252096,1196638208,21968255682,10912415744,21640010080,1636,0,325,325,1.5
1786052049,251920,1135747072,22492982158,11390803968,22156714320,1634,0,334,334,1.5
1786052059,251056,924758016,23146083302,11718508544,22799844080,1641,0,343,343,1.5
1786052070,250904,1033924608,23867676018,11962974208,23510466720,1645,0,353,353,1.5
1786052080,251500,1258549248,24486476820,12323348480,24119820400,1637,0,362,362,1.5
1786052090,251228,1196638208,25118665552,12530941952,24742397680,1640,0,372,372,1.5
1786052100,251520,1138892800,25636321218,13012488192,25252139120,1636,0,380,380,1.5
1786052110,251864,1058062336,26283379504,13335977984,25889316960,1643,0,389,389,1.5
1786052120,251868,1030774784,27009180438,13578338304,26604081920,1647,0,400,399,1.5
1786052130,251788,1255399424,27625332660,13938712576,27210835600,1639,0,409,409,1.5
1786052140,251528,1230225408,28340539222,14183186432,27915141280,1643,0,420,419,1.5
1786052150,251540,1305796608,28855621448,14663684096,28422371120,1637,0,428,428,1.5
1786052160,251160,1107402752,29494980452,15004033024,29051975680,1650,0,437,437,1.5
1786052171,253160,1044426752,30246399772,15210569728,29791987680,1646,0,447,447,1.5
1786052181,252388,1134682112,30859127392,15570931712,30395343680,1640,0,457,457,1.5
1786052191,251924,1238622208,31542106760,15810142208,31067940800,1644,0,467,467,1.5
1786052201,252192,1275355136,32013717170,16251650048,31532363200,1639,0,475,475,1.5
1786052211,253620,958353408,32640533776,16607809536,32149614640,1649,0,484,484,1.5
1786052221,253740,1038123008,33384312672,16822767616,32882092880,1647,0,495,495,1.5
1786052231,255196,1262743552,34001942898,17183137792,33490285920,1641,0,505,503,1.5
1786052241,253608,1108459520,34716332542,17432879104,34193803280,1644,0,515,515,1.5
1786052251,252864,1446453248,35251946818,17907060736,34721250720,1639,0,524,522,1.5
1786052261,258332,982491136,35890240176,18250567680,35349803840,1649,0,534,532,1.5
1786052271,257216,1052819456,36636129922,18456047616,36084362080,1646,0,544,544,1.5
1786052281,258720,1144135680,37254095912,18817470464,36692902480,1641,0,553,553,1.5
1786052292,256848,1165144064,37995495962,19108311040,37423024080,1644,0,564,564,1.5
1786052302,258120,1387663360,38438685354,19466571776,37859472560,1640,0,570,570,1.5
1786052312,258456,1237561344,38766851184,19720519680,38182616160,1642,0,576,576,1.5
1786052322,258700,1102147584,39447748096,19989217280,38853153040,1650,0,585,585,1.5
1786052332,259400,1138892800,40259545410,20295856128,39652626000,1643,0,598,597,1.5
1786052342,258576,1259610112,40982536914,20686790656,40364572560,1646,0,608,608,1.5
1786052352,257040,1177739264,41644727348,21144113152,41016667120,1640,0,619,618,1.5
1786052362,258896,1044422656,42345317858,21549793280,41706571920,1652,0,628,628,1.5
1786052372,259368,1170386944,43200910804,21811118080,42549180960,1645,0,641,641,1.5
1786052382,259296,1062273024,43781243860,22107217920,43120651600,1641,0,651,651,1.5
1786052393,258288,1293201408,44151729388,22339039232,43485502320,1646,0,656,656,1.5
1786052403,258220,1381363712,44681686916,22697299968,44007377440,1642,0,663,662,1.5
1786052413,259444,996134912,45366672148,23119843328,44681902720,1650,0,675,675,1.5
1786052423,257152,1131556864,46224010202,23390662656,45526220480,1647,0,687,687,1.5
1786052433,259120,1087459328,46969613658,23751028736,46260435520,1643,0,697,697,1.5
1786052443,257088,1219723264,47670852324,24153559040,46950996560,1644,0,709,708,1.5
1786052453,258324,1247006720,48131535898,24585580544,47404638320,1647,0,715,715,1.5
1786052463,259164,1026576384,48542480666,24768929792,47809321040,1653,0,721,721,1.5
1786052473,256960,1097949184,49290121034,24975458304,48545618160,1648,0,733,733,1.5
1786052483,258364,1303695360,49940277442,25316872192,49185860880,1643,0,742,742,1.5
1786052493,258040,1247002624,50301862482,25529720832,49541936080,1647,0,749,748,1.5
1786052503,259088,1275355136,50842011314,25827930112,50073851360,1644,0,755,755,1.5
1786052514,257400,1075916800,51485792754,26302107648,50707793760,1650,0,764,764,1.5
1786052524,257500,1066459136,52343166920,26562371584,51552139600,1649,0,777,777,1.5
1786052534,258636,1154633728,52839278534,26785763328,52040709760,1645,0,785,785,1.5
